LONGITUDE,DISTANCE,STNAME
-86.756826,54.8,Alabama
-148.873973,840,Alaska
-111.86431,21.8,Arizona
-92.655243,49.2,Arkansas
-119.325359,269,California
-105.208056,34.4,Colorado
-72.870342,27,Connecticut
-75.556835,17.6,Delaware
-77.014468,2.3,District of Columbia
-81.634654,304,Florida
-83.882712,50.9,Georgia
-157.484404,12.5,Hawaii
-115.178681,101,Idaho
-88.390334,140,Illinois
-86.259514,37.5,Indiana
-93.036629,42.3,Iowa
-96.462812,76.7,Kansas
-85.248467,43.3,Kentucky
-91.508833,41.2,Louisiana
-69.736482,3,Maine
-76.797763,24.6,Maryland
-71.36337,22.5,Massachusetts
-84.203434,27.3,Michigan
-93.571903,34.9,Minnesota
-89.579514,48.9,Mississippi
-92.198469,14.5,Missouri
-111.296213,107,Montana
-97.315578,58.3,Nebraska
-116.19172,104,Nevada
-71.461974,5.8,New Hampshire
-74.432208,26.4,New Jersey
-106.354349,91.8,New Mexico
-74.620909,135,New York
-79.658232,74.6,North Carolina
-99.309504,123,North Dakota
-82.773339,39.5,Ohio
-96.836786,51.4,Oklahoma
-122.585214,32.4,Oregon
-77.00968,19.3,Pennsylvania
-71.450869,8.8,Rhode Island
-81.011022,2.5,South Carolina
-99.002355,86.9,South Dakota
-86.359136,37.4,Tennessee
-97.365594,62.1,Texas
-111.927035,31.1,Utah
-72.816417,26.3,Vermont
-77.81116,35.7,Virginia
-121.619994,88.6,Washington
-80.731308,80.9,West Virginia
-89.018997,60.6,Wisconsin
-107.019126,216,Wyoming
-66.346513,50.3,Puerto Rico
